timestamp,device_id,interface_id,bandwidth_util_pct,throughput_mbps,rtt_ms,rtt_jitter_ms,queue_occupancy_pct,packet_loss_pct,tcp_retrans_rate,interface_discards_sec,crc_errors_sec,cpu_util_pct,memory_util_pct,bgp_flap_count,target_t5,target_t15,target_t30,future_rtt_t15,future_loss_t15
2026-09-01 00:00:00,core-router-alpha,xe-0/0/1,37.99,4076.1,13.95,1.09,2.0,0.0,0.05,0.0,0.0,41.04,34.8,0,0,0,0,13.62,0.007
2026-09-01 00:01:00,core-router-alpha,xe-0/0/1,35.68,3372.0,13.72,2.57,2.0,0.0,0.08,0.0,0.0,40.15,38.35,0,0,0,0,15.76,0.0
2026-09-01 00:02:00,core-router-alpha,xe-0/0/1,38.35,3875.8,12.73,0.7,3.22,0.0,0.02,0.0,0.0,40.76,38.42,0,0,0,0,15.73,0.0
2026-09-01 00:03:00,core-router-alpha,xe-0/0/1,41.33,4367.7,15.91,2.39,2.04,0.0,0.07,0.0,0.0,43.04,36.87,0,0,0,0,13.21,0.0
2026-09-01 00:04:00,core-router-alpha,xe-0/0/1,35.09,3599.1,13.07,2.63,2.27,0.0,0.03,0.0,0.0,41.02,34.32,0,0,0,0,13.73,0.0
2026-09-01 00:05:00,core-router-alpha,xe-0/0/1,35.01,3527.2,13.97,2.62,2.0,0.0,0.07,0.0,0.0,39.6,37.57,0,0,0,0,13.36,0.0
2026-09-01 00:06:00,core-router-alpha,xe-0/0/1,41.27,3981.8,12.62,3.31,2.49,0.0,0.08,0.0,0.0,41.78,38.05,0,0,0,0,13.66,0.0
2026-09-01 00:07:00,core-router-alpha,xe-0/0/1,38.35,3627.4,13.84,0.0,2.0,0.0,0.04,0.0,0.0,36.93,33.41,0,0,0,0,12.9,0.0
2026-09-01 00:08:00,core-router-alpha,xe-0/0/1,33.93,3508.9,13.56,0.33,2.0,0.0,0.03,0.0,0.0,35.37,36.04,0,0,0,0,13.29,0.0
2026-09-01 00:09:00,core-router-alpha,xe-0/0/1,37.39,3965.2,13.79,0.07,2.0,0.0,0.08,0.0,0.0,42.16,36.25,0,0,0,0,14.46,0.0
2026-09-01 00:10:00,core-router-alpha,xe-0/0/1,33.79,3313.1,13.64,2.31,7.8,0.0,0.02,0.0,0.0,38.66,36.42,0,0,0,0,15.5,0.0
2026-09-01 00:11:00,core-router-alpha,xe-0/0/1,33.7,3198.9,14.7,0.64,2.0,0.0,0.03,0.0,0.0,37.54,35.76,0,0,0,0,12.26,0.0
2026-09-01 00:12:00,core-router-alpha,xe-0/0/1,36.09,3240.5,15.81,1.28,2.0,0.0,0.01,0.0,0.0,39.72,35.82,0,0,0,0,12.65,0.0
2026-09-01 00:13:00,core-router-alpha,xe-0/0/1,28.47,2699.6,14.18,2.66,5.71,0.0,0.02,0.0,0.0,34.68,35.82,0,0,0,0,12.77,0.0
2026-09-01 00:14:00,core-router-alpha,xe-0/0/1,29.04,2887.4,16.27,2.83,2.0,0.0,0.0,0.0,0.0,34.16,37.2,0,0,0,0,12.71,0.0
2026-09-01 00:15:00,core-router-alpha,xe-0/0/1,33.03,3543.0,13.62,0.98,2.0,0.007,0.02,0.0,0.0,39.38,34.27,0,0,0,0,12.54,0.0
2026-09-01 00:16:00,core-router-alpha,xe-0/0/1,31.37,3238.3,15.76,1.87,2.0,0.0,0.0,0.0,0.0,38.42,35.93,0,0,0,0,13.43,0.0
2026-09-01 00:17:00,core-router-alpha,xe-0/0/1,35.94,3639.4,15.73,1.17,2.0,0.0,0.05,0.0,0.0,39.24,34.03,0,0,0,0,15.17,0.0
2026-09-01 00:18:00,core-router-alpha,xe-0/0/1,31.58,3097.8,13.21,2.1,2.0,0.0,0.01,0.0,0.0,36.86,36.94,0,0,0,0,13.03,0.0
2026-09-01 00:19:00,core-router-alpha,xe-0/0/1,29.73,2885.7,13.73,1.9,2.0,0.0,0.02,0.0,0.0,35.19,34.79,0,0,0,0,14.0,0.0
2026-09-01 00:20:00,core-router-alpha,xe-0/0/1,39.72,4183.3,13.36,1.57,7.43,0.0,0.01,0.0,0.0,42.27,37.99,0,0,0,0,16.61,0.0
2026-09-01 00:21:00,core-router-alpha,xe-0/0/1,33.72,3402.5,13.66,3.82,2.0,0.0,0.02,0.0,0.0,35.28,36.24,0,0,0,0,13.25,0.0
2026-09-01 00:22:00,core-router-alpha,xe-0/0/1,34.67,3151.7,12.9,2.23,2.0,0.0,0.1,0.0,0.0,39.9,35.36,0,0,0,0,15.51,0.0
2026-09-01 00:23:00,core-router-alpha,xe-0/0/1,29.37,2835.7,13.29,1.12,2.0,0.0,0.01,0.0,0.0,37.58,35.84,0,0,0,0,13.68,0.004
2026-09-01 00:24:00,core-router-alpha,xe-0/0/1,32.37,3108.2,14.46,1.42,2.0,0.0,0.01,0.0,0.0,39.31,36.29,0,0,0,0,12.86,0.0
2026-09-01 00:25:00,core-router-alpha,xe-0/0/1,34.58,3376.4,15.5,0.39,2.0,0.0,0.09,0.0,0.0,37.7,35.31,0,0,0,0,13.98,0.0
2026-09-01 00:26:00,core-router-alpha,xe-0/0/1,30.09,3093.2,12.26,0.29,3.63,0.0,0.11,0.0,0.0,34.19,37.16,0,0,0,0,13.43,0.0
2026-09-01 00:27:00,core-router-alpha,xe-0/0/1,35.35,3519.1,12.65,1.21,3.19,0.0,0.09,0.0,0.0,42.95,34.63,0,0,0,0,14.56,0.0
2026-09-01 00:28:00,core-router-alpha,xe-0/0/1,31.86,3174.2,12.77,2.2,2.0,0.0,0.15,0.0,0.0,39.22,35.14,0,0,0,0,13.25,0.0
2026-09-01 00:29:00,core-router-alpha,xe-0/0/1,32.86,3483.0,12.71,3.16,2.59,0.0,0.1,0.0,0.0,33.48,35.85,0,0,0,0,13.96,0.0
2026-09-01 00:30:00,core-router-alpha,xe-0/0/1,31.7,3065.2,12.54,0.55,2.0,0.0,0.02,0.0,0.0,34.82,36.54,0,0,0,0,13.6,0.003
2026-09-01 00:31:00,core-router-alpha,xe-0/0/1,40.21,4300.4,13.43,2.43,2.7,0.0,0.04,0.0,0.0,42.3,38.84,0,0,0,0,12.74,0.0
2026-09-01 00:32:00,core-router-alpha,xe-0/0/1,33.6,3259.3,15.17,3.83,2.0,0.0,0.11,0.0,0.0,38.93,33.85,0,0,0,0,14.5,0.0
2026-09-01 00:33:00,core-router-alpha,xe-0/0/1,29.87,3000.2,13.03,3.36,2.86,0.0,0.06,0.0,0.0,37.3,35.1,0,0,0,0,14.62,0.022
2026-09-01 00:34:00,core-router-alpha,xe-0/0/1,36.37,3595.1,14.0,2.61,2.0,0.0,0.0,0.0,0.0,36.5,36.67,0,0,0,0,14.05,0.0
2026-09-01 00:35:00,core-router-alpha,xe-0/0/1,29.14,2932.9,16.61,0.13,2.0,0.0,0.02,0.0,0.0,35.57,33.04,0,0,0,0,13.76,0.0
2026-09-01 00:36:00,core-router-alpha,xe-0/0/1,34.07,3473.8,13.25,1.06,2.0,0.0,0.03,0.0,0.0,38.42,34.18,0,0,0,0,13.66,0.0
2026-09-01 00:37:00,core-router-alpha,xe-0/0/1,26.41,2705.6,15.51,2.81,2.79,0.0,0.14,0.0,0.0,34.58,34.74,0,0,0,0,13.64,0.0
2026-09-01 00:38:00,core-router-alpha,xe-0/0/1,28.54,2741.0,13.68,2.5,2.18,0.004,0.01,0.0,0.0,35.83,40.18,0,0,0,0,14.96,0.0
2026-09-01 00:39:00,core-router-alpha,xe-0/0/1,33.8,3211.7,12.86,2.52,2.18,0.0,0.03,0.0,0.0,33.94,36.92,0,0,0,0,12.58,0.0
2026-09-01 00:40:00,core-router-alpha,xe-0/0/1,35.62,3937.7,13.98,2.83,3.69,0.0,0.12,0.0,0.0,41.92,35.77,0,0,0,0,12.55,0.0
2026-09-01 00:41:00,core-router-alpha,xe-0/0/1,33.56,3283.6,13.43,1.35,2.0,0.0,0.08,0.0,0.0,39.55,35.84,0,0,0,0,13.2,0.0
2026-09-01 00:42:00,core-router-alpha,xe-0/0/1,32.48,3353.1,14.56,1.22,2.0,0.0,0.07,0.0,0.0,37.84,36.57,0,0,0,0,15.06,0.0
2026-09-01 00:43:00,core-router-alpha,xe-0/0/1,31.76,2934.8,13.25,6.72,2.0,0.0,0.05,0.0,0.0,40.45,36.78,0,0,0,0,13.7,0.0
2026-09-01 00:44:00,core-router-alpha,xe-0/0/1,27.56,2714.4,13.96,2.09,2.0,0.0,0.02,0.0,0.0,33.66,34.57,0,0,0,0,15.28,0.001
2026-09-01 00:45:00,core-router-alpha,xe-0/0/1,30.15,2995.4,13.6,3.37,2.0,0.003,0.04,0.0,0.0,36.11,36.94,0,0,0,0,13.78,0.012
